FY,COUNTY,CODISTSCH,DISTRICTLNAME,v,FREELUNCH,REDUCEDLUNCH,FREEREDUCEDLUNCH,PERCENT
2016-2017,SCOTTS BLUFF,790705000,COMMUNITY CHRISTIAN SCHOOLS,139,,,,
2016-2017,SEWARD,800005000,MILFORD PUBLIC SCHOOLS,747,121,24,145,19.41
2016-2017,SEWARD,800009000,SEWARD PUBLIC SCHOOLS,1426,237,109,346,24.26
2016-2017,SEWARD,800567000,CENTENNIAL PUBLIC SCHOOLS,447,150,40,190,42.51
2016-2017,SEWARD,800701000,ST JOHN LUTHERAN SCHOOL,183,12,14,26,14.21
2016-2017,SEWARD,800703000,OUR REDEEMER LUTHERAN ELEM SCH,56,,,,
2016-2017,SEWARD,800704000,ST PAUL'S LUTHERAN ELEM SCHOOL,93,,,19,20.43
2016-2017,SEWARD,800710000,ST VINCENT DEPAUL CATHOLIC SCH,81,,,10,12.35
2016-2017,SHERIDAN,810003000,HAY SPRINGS PUBLIC SCHOOLS,186,63,20,83,44.62
2016-2017,SHERIDAN,810010000,GORDON-RUSHVILLE PUBLIC SCHS,668,337,68,405,60.63
2016-2017,SHERMAN,820001000,LOUP CITY PUBLIC SCHOOLS,365,120,42,162,44.38
2016-2017,SHERMAN,820015000,LITCHFIELD PUBLIC SCHOOLS,101,44,21,65,64.36
2016-2017,SIOUX,830500000,SIOUX COUNTY PUBLIC SCHOOLS,109,,,18,16.51
2016-2017,STANTON,840003000,STANTON COMMUNITY SCHOOLS,411,124,51,175,42.58
2016-2017,THAYER,850060000,DESHLER PUBLIC SCHOOLS,255,90,21,111,43.53
2016-2017,THAYER,850070000,THAYER CENTRAL COMMUNITY SCHS,446,97,34,131,29.37
2016-2017,THAYER,850703000,DESHLER LUTHERAN ELEM SCHOOL,49,11,10,21,42.86
2016-2017,THAYER,852001000,BRUNING-DAVENPORT UNIFIED SYS,185,55,12,67,36.22
2016-2017,THOMAS,860001000,THEDFORD PUBLIC SCHOOLS,112,25,23,48,42.86
2016-2017,THURSTON,870001000,PENDER PUBLIC SCHOOLS,382,112,10,122,31.94
2016-2017,THURSTON,870013000,WALTHILL PUBLIC SCHOOLS,373,,,,
2016-2017,THURSTON,870016000,UMO N HO N NATION PUBLIC SCHS,548,,,,
2016-2017,THURSTON,870017000,WINNEBAGO PUBLIC SCHOOLS,593,430,21,451,76.05
2016-2017,THURSTON,870701000,ST AUGUSTINE ELEMENTARY SCHOOL,104,61,19,80,76.92
2016-2017,VALLEY,880005000,ORD PUBLIC SCHOOLS,619,172,74,246,39.74
2016-2017,VALLEY,880021000,ARCADIA PUBLIC SCHOOLS,132,33,34,67,50.76
2016-2017,VALLEY,880701000,ST MARY'S ELEMENTARY SCHOOL,44,,,27,61.36
2016-2017,WASHINGTON,890001000,BLAIR COMMUNITY SCHOOLS,2326,450,130,580,24.94
2016-2017,WASHINGTON,890003000,FORT CALHOUN COMMUNITY SCHS,706,114,28,142,20.11
2016-2017,WASHINGTON,890024000,ARLINGTON PUBLIC SCHOOLS,651,97,45,142,21.81
2016-2017,WASHINGTON,890701000,ST PAUL'S LUTHERAN ELEM SCHOOL,70,,,,
2016-2017,WAYNE,900017000,WAYNE COMMUNITY SCHOOLS,912,244,87,331,36.29
2016-2017,WAYNE,900560000,WAKEFIELD PUBLIC SCHOOLS,485,200,49,249,51.34
2016-2017,WAYNE,900595000,WINSIDE PUBLIC SCHOOLS,213,32,53,85,39.91
2016-2017,WAYNE,900701000,TRINITY LUTHERAN SCHOOLS,24,,,,
2016-2017,WAYNE,900702000,ST MARY'S ELEMENTARY SCHOOL,47,,,,
2016-2017,WEBSTER,910002000,RED CLOUD COMMUNITY SCHOOLS,229,107,29,136,59.39
2016-2017,WEBSTER,910074000,BLUE HILL PUBLIC SCHOOLS,320,89,21,110,34.38
2016-2017,WHEELER,920045000,WHEELER CENTRAL SCHOOLS,101,36,16,52,51.49
2016-2017,YORK,930012000,YORK PUBLIC SCHOOLS,1346,443,134,577,42.87
2016-2017,YORK,930083000,MC COOL JUNCTION PUBLIC SCHS,282,99,25,124,43.97
2016-2017,YORK,930096000,HEARTLAND COMMUNITY SCHOOLS,330,69,36,105,31.82
2016-2017,YORK,930701000,EMMANUEL LUTHERAN ELEM SCHOOL,163,41,13,54,33.13
2016-2017,YORK,930702000,ST JOSEPH'S ELEMENTARY SCHOOL,146,18,13,31,21.23
2016-2017,YORK,930703000,NEBRASKA EV LUTHERAN SCHOOLS,118,,,29,24.58
,,,,,,,,
2015-2016,ADAMS,010003000,KENESAW PUBLIC SCHOOLS,293,72,11,83,28.33
2015-2016,ADAMS,010018000,HASTINGS PUBLIC SCHOOLS,3633,1730,429,2159,59.43
2015-2016,ADAMS,010090000,ADAMS CENTRAL PUBLIC SCHOOLS,917,117,45,162,17.67
2015-2016,ADAMS,010123000,SILVER LAKE PUBLIC SCHOOLS,238,51,48,99,41.6
2015-2016,ADAMS,010701000,CHRIST LUTHERAN ELEMENTARY SCH,55,,,,
2015-2016,ADAMS,010702000,HASTINGS CATHOLIC SCHOOLS,477,61,43,104,21.8
2015-2016,ADAMS,010705000,ZION LUTHERAN ELEMENTARY SCH,74,,,28,37.84
2015-2016,ANTELOPE,020009000,NELIGH-OAKDALE SCHOOLS,409,116,53,169,41.32
2015-2016,ANTELOPE,020018000,ELGIN PUBLIC SCHOOLS,182,63,36,99,54.4
2015-2016,ANTELOPE,020701000,ST BONIFACE ELEMENTARY SCHOOL,59,11,10,21,35.59
2015-2016,ANTELOPE,020702000,POPE JOHN XXIII HIGH SCHOOL,69,,,20,28.99
2015-2016,ANTELOPE,022001000,NEBRASKA UNIFIED DISTRICT 1,447,130,96,226,50.56
2015-2016,ARTHUR,030500000,ARTHUR COUNTY SCHOOLS,109,,,,
2015-2016,BANNER,040001000,BANNER COUNTY PUBLIC SCHOOLS,164,68,17,85,51.83
2015-2016,BLAINE,050071000,SANDHILLS PUBLIC SCHOOLS,103,25,15,40,38.83
2015-2016,BOONE,060001000,BOONE CENTRAL SCHOOLS,587,107,87,194,33.05
2015-2016,BOONE,060017000,ST EDWARD PUBLIC SCHOOLS,166,57,19,76,45.78
2015-2016,BOONE,060075000,RIVERSIDE PUBLIC SCHOOLS,234,79,52,131,55.98
2015-2016,BOONE,060701000,ST MICHAEL'S ELEMENTARY SCHOOL,110,,,14,12.73
2015-2016,BOX BUTTE,070006000,ALLIANCE PUBLIC SCHOOLS,1511,589,177,766,50.69
2015-2016,BOX BUTTE,070010000,HEMINGFORD PUBLIC SCHOOLS,406,77,45,122,30.05
2015-2016,BOX BUTTE,070701000,ST AGNES ELEMENTARY SCHOOL,131,,,,
2015-2016,BOX BUTTE,070705000,IMMANUEL EVANGELICAL LUTHERAN SCHOOL,94,,,,
2015-2016,BOYD,080036000,LYNCH PUBLIC SCHOOLS,65,,,27,41.54
2015-2016,BOYD,080050000,WEST BOYD SCHOOL DISTRICT,287,93,62,155,54.01
2015-2016,BROWN,090010000,AINSWORTH COMMUNITY SCHOOLS,483,151,51,202,41.82
2015-2016,BUFFALO,100002000,GIBBON PUBLIC SCHOOLS,602,251,81,332,55.15
2015-2016,BUFFALO,100007000,KEARNEY PUBLIC SCHOOLS,5498,1585,571,2156,39.21
2015-2016,BUFFALO,100009000,ELM CREEK PUBLIC SCHOOLS,352,90,13,103,29.26
2015-2016,BUFFALO,100019000,SHELTON PUBLIC SCHOOLS,304,105,40,145,47.7
2015-2016,BUFFALO,100069000,RAVENNA PUBLIC SCHOOLS,468,151,56,207,44.23
2015-2016,BUFFALO,100105000,PLEASANTON PUBLIC SCHOOLS,254,47,22,69,27.17
2015-2016,BUFFALO,100119000,AMHERST PUBLIC SCHOOLS,383,51,32,83,21.67
2015-2016,BUFFALO,100600000,KEARNEY WEST HIGH SCHOOL,89,,,,
2015-2016,BUFFALO,100701000,KEARNEY CATHOLIC SCHOOLS,365,12,10,22,6.03
2015-2016,BUFFALO,100702000,ZION LUTHERAN ELEMENTARY SCH,175,18,14,32,18.29
2015-2016,BUFFALO,100709000,FAITH CHRISTIAN SCH/KEARNEY,95,,,,
2015-2016,BURT,110001000,TEKAMAH-HERMAN COMMUNITY SCHS,552,103,46,149,26.99
2015-2016,BURT,110014000,OAKLAND CRAIG PUBLIC SCHOOLS,433,116,46,162,37.41
2015-2016,BURT,110020000,LYONS-DECATUR NORTHEAST SCHS,267,99,23,122,45.69
2015-2016,BUTLER,120056000,DAVID CITY PUBLIC SCHOOLS,660,210,90,300,45.45
2015-2016,BUTLER,120502000,EAST BUTLER PUBLIC SCHOOLS,311,42,28,70,22.51
2015-2016,BUTLER,120701000,AQUINAS ST MARYS CATHOLIC SCHS,524,39,46,85,16.22
2015-2016,CASS,130001000,PLATTSMOUTH COMMUNITY SCHOOLS,1677,544,194,738,44.01
2015-2016,CASS,130022000,WEEPING WATER PUBLIC SCHOOLS,320,70,32,102,31.88
2015-2016,CASS,130032000,LOUISVILLE PUBLIC SCHOOLS,620,87,36,123,19.84
2015-2016,CASS,130056000,CONESTOGA PUBLIC SCHOOLS,662,121,42,163,24.62
2015-2016,CASS,130097000,ELMWOOD-MURDOCK PUBLIC SCHOOLS,442,61,26,87,19.68
2015-2016,CASS,130701000,ST JOHN THE BAPTIST ELEMENTARY,171,10,11,21,12.28
2015-2016,CEDAR,140008000,HARTINGTON NEWCASTLE PUBLIC SCHOOLS,358,108,30,138,38.55
2015-2016,CEDAR,140045000,RANDOLPH PUBLIC SCHOOLS,255,59,23,82,32.16
2015-2016,CEDAR,140054000,LAUREL-CONCORD-COLERIDGE SCHOOL,451,117,54,171,37.92
2015-2016,CEDAR,140101000,WYNOT PUBLIC SCHOOLS,161,45,21,66,40.99
2015-2016,CEDAR,140701000,HOLY TRINITY ELEMENTARY SCHOOL,190,20,24,44,23.16
2015-2016,CEDAR,140702000,CEDAR CATHOLIC HIGH SCHOOL,196,22,27,49,25
2015-2016,CEDAR,140703000,WEST CATHOLIC ELEMENTARY SCH,16,,,,
2015-2016,CEDAR,140704000,EAST CATHOLIC ELEMENTARY SCH,44,,,,
2015-2016,CHASE,150010000,CHASE COUNTY SCHOOLS,630,161,46,207,32.86
2015-2016,CHASE,150536000,WAUNETA-PALISADE PUBLIC SCHS,232,83,37,120,51.72
2015-2016,CHERRY,160006000,VALENTINE COMMUNITY SCHOOLS,615,164,67,231,37.56
2015-2016,CHERRY,160030000,CODY-KILGORE PUBLIC SCHS,156,50,38,88,56.41
2015-2016,CHERRY,160701000,ZION LUTHERAN ELEMENTARY SCH,39,,,,
2015-2016,CHEYENNE,170001000,SIDNEY PUBLIC SCHOOLS,1402,340,120,460,32.81
2015-2016,CHEYENNE,170003000,LEYTON PUBLIC SCHOOLS,208,42,32,74,35.58
2015-2016,CHEYENNE,170009000,POTTER-DIX PUBLIC SCHOOLS,173,41,21,62,35.84
2015-2016,CLAY,180002000,SUTTON PUBLIC SCHOOLS,410,77,23,100,24.39
2015-2016,CLAY,180011000,HARVARD PUBLIC SCHOOLS,287,161,26,187,65.16
2015-2016,CLAY,180701000,SUTTON CHRISTIAN SCHOOL,18,,,,
2015-2016,COLFAX,190039000,LEIGH COMMUNITY SCHOOLS,189,39,27,66,34.92
2015-2016,COLFAX,190058000,CLARKSON PUBLIC SCHOOLS,207,34,31,65,31.4
2015-2016,COLFAX,190070000,HOWELLS-DODGE CONSOLIDATED SCHOOLS,238,40,19,59,24.79
2015-2016,COLFAX,190123000,SCHUYLER COMMUNITY SCHOOLS,2040,1301,294,1595,78.19
2015-2016,COLFAX,190703000,ST JOHN NEUMANN ELEMENTARY SCH,22,,,,
2015-2016,COLFAX,190704000,HOWELLS COMMUNITY CATHOLIC SCHOOL,53,,,,
2015-2016,CUMING,200001000,WEST POINT PUBLIC SCHOOLS,772,312,113,425,55.05
2015-2016,CUMING,200020000,BANCROFT-ROSALIE COMM SCHOOLS,265,78,30,108,40.75
2015-2016,CUMING,200030000,WISNER-PILGER PUBLIC SCHOOLS,481,146,54,200,41.58
2015-2016,CUMING,200703000,ST PAUL LUTHERAN ELEM SCHOOL,124,,,28,22.58
2015-2016,CUMING,200710000,GUARDIAN ANGELS CENTRAL CATHOLIC SCHOOLS,525,,,,
2015-2016,CUSTER,210015000,ANSELMO-MERNA PUBLIC SCHOOLS,271,67,30,97,35.79
2015-2016,CUSTER,210025000,BROKEN BOW PUBLIC SCHOOLS,821,231,85,316,38.49
2015-2016,CUSTER,210044000,ANSLEY PUBLIC SCHOOLS,158,52,16,68,43.04
2015-2016,CUSTER,210084000,SARGENT PUBLIC SCHOOLS,183,65,27,92,50.27
2015-2016,CUSTER,210089000,ARNOLD PUBLIC SCHOOLS,149,27,12,39,26.17
2015-2016,CUSTER,210180000,CALLAWAY PUBLIC SCHOOLS,226,54,18,72,31.86
2015-2016,DAKOTA,220011000,SO SIOUX CITY COMMUNITY SCHS,3920,2141,390,2531,64.57
2015-2016,DAKOTA,220031000,HOMER COMMUNITY SCHOOLS,402,124,44,168,41.79
2015-2016,DAKOTA,220701000,ST MICHAEL ELEMENTARY SCHOOL,162,88,26,114,70.37
2015-2016,DAWES,230002000,CHADRON PUBLIC SCHOOLS,870,222,90,312,35.86
2015-2016,DAWES,230071000,CRAWFORD PUBLIC SCHOOLS,236,99,23,122,51.69
2015-2016,DAWES,230601000,PINE RIDGE JOB CORPS,143,,,,
2015-2016,DAWES,230701000,PRAIRIE VIEW S D A SCHOOL,5,,,,
2015-2016,DAWSON,240001000,LEXINGTON PUBLIC SCHOOLS,2982,1899,358,2257,75.69
2015-2016,DAWSON,240004000,OVERTON PUBLIC SCHOOLS,322,103,62,165,51.24
2015-2016,DAWSON,240011000,COZAD COMMUNITY SCHOOLS,951,367,103,470,49.42
2015-2016,DAWSON,240020000,GOTHENBURG PUBLIC SCHOOLS,951,228,81,309,32.49
2015-2016,DAWSON,240101000,SUMNER-EDDYVILLE-MILLER SCHS,209,78,45,123,58.85
2015-2016,DEUEL,250025000,CREEK VALLEY SCHOOLS,254,78,37,115,45.28
2015-2016,DEUEL,250095000,SOUTH PLATTE PUBLIC SCHOOLS,175,73,20,93,53.14
2015-2016,DIXON,260001000,PONCA PUBLIC SCHOOLS,462,54,45,99,21.43
2015-2016,DIXON,260070000,ALLEN CONSOLIDATED SCHOOLS,205,56,25,81,39.51
2015-2016,DIXON,260561000,EMERSON-HUBBARD PUBLIC SCHOOLS,278,98,24,122,43.88
2015-2016,DODGE,270001000,FREMONT PUBLIC SCHOOLS,4713,2188,487,2675,56.76
2015-2016,DODGE,270062000,SCRIBNER-SNYDER COMMUNITY SCHS,208,79,22,101,48.56
2015-2016,DODGE,270594000,LOGAN VIEW PUBLIC SCHOOLS,556,161,62,223,40.11
2015-2016,DODGE,270595000,NORTH BEND CENTRAL PUBLIC SCHS,625,117,89,206,32.96
2015-2016,DODGE,270701000,ARCHBISHOP BERGAN SCHOOL,161,,,16,9.94
2015-2016,DODGE,270702000,TRINITY LUTHERAN ELEM SCHOOLS,158,,,,
2015-2016,DODGE,270704000,ST WENCESLAUS ELEM SCHOOL,40,,,,
2015-2016,DODGE,270706000,ARCHBISHOP BERGAN ELEMENTARY,225,30,12,42,18.67
2015-2016,DOUGLAS,280001000,OMAHA PUBLIC SCHOOLS,51966,34028,4553,38581,74.24
2015-2016,DOUGLAS,280010000,ELKHORN PUBLIC SCHOOLS,8079,343,168,511,6.33
2015-2016,DOUGLAS,280015000,DOUGLAS CO WEST COMMUNITY SCHS,876,221,73,294,33.56
2015-2016,DOUGLAS,280017000,MILLARD PUBLIC SCHOOLS,23913,3113,1218,4331,18.11
2015-2016,DOUGLAS,280054000,RALSTON PUBLIC SCHOOLS,3355,1407,430,1837,54.75
2015-2016,DOUGLAS,280059000,BENNINGTON PUBLIC SCHOOLS,2101,141,57,198,9.42
2015-2016,DOUGLAS,280066000,WESTSIDE COMMUNITY SCHOOLS,6123,1493,399,1892,30.9
2015-2016,DOUGLAS,280602000,NE CORRECTIONAL YOUTH FACILITY,80,,,42,52.5
2015-2016,DOUGLAS,280702000,THE JESUIT ACADEMY,72,50,14,64,88.89
2015-2016,DOUGLAS,280703000,BOYS TOWN SCHOOLS,335,,,,
2015-2016,DOUGLAS,280706000,BROWNELL TALBOT SCHOOLS,427,,,,
2015-2016,DOUGLAS,280707000,PHOENIX ACADEMY DAY SCHOOL,109,,,,
2015-2016,DOUGLAS,280708000,ST STEPHEN THE MARTYR SCHOOL,826,,,,
2015-2016,DOUGLAS,280709000,ALL SAINTS CATHOLIC SCHOOL,162,,,,
2015-2016,DOUGLAS,280711000,CHILDREN'S ROOM,132,,,,
2015-2016,DOUGLAS,280712000,CHRIST THE KING CATHOLIC SCH,368,,,18,4.89
2015-2016,DOUGLAS,280713000,CREIGHTON PREPARATORY SCHOOL,1024,,,,
2015-2016,DOUGLAS,280716000,DUCHESNE ACADEMY,319,,,,
2015-2016,DOUGLAS,280718000,GETHSEMANE LUTHERAN ELEMENTARY,99,,,12,12.12
2015-2016,DOUGLAS,280719000,GOOD SHEPHERD ELEMENTARY SCH,99,,,13,13.13
2015-2016,DOUGLAS,280720000,HOLY CROSS CATHOLIC SCHOOL,389,66,21,87,22.37
2015-2016,DOUGLAS,280722000,HOLY NAME ELEMENTARY SCHOOL,207,115,48,163,78.74
2015-2016,DOUGLAS,280723000,ST PATRICK'S CATHOLIC SCHOOL,828,,,,
2015-2016,DOUGLAS,280725000,MADONNA SCHOOL,62,,,20,32.26
2015-2016,DOUGLAS,280726000,MARIAN HIGH SCHOOL,711,19,43,62,8.72
2015-2016,DOUGLAS,280727000,MARY OUR QUEEN ELEM SCHOOL,506,13,20,33,6.52
2015-2016,DOUGLAS,280728000,OMAHA MEMORIAL SCHOOL OF S D A,36,,,,
2015-2016,DOUGLAS,280729000,ST VINCENT DE PAUL ELEMENTARY,877,,,18,2.05
2015-2016,DOUGLAS,280730000,MERCY HIGH SCHOOL,372,,,,
2015-2016,DOUGLAS,280731000,MONTESSORI EDUCATIONAL CNTRS,19,,,,
2015-2016,DOUGLAS,280733000,MT MICHAEL BENEDICTINE H S,239,,,,
2015-2016,DOUGLAS,280736000,OUR LADY OF LOURDES ELEM SCH,278,67,29,96,34.53
2015-2016,DOUGLAS,280737000,MONTESSORI LEARN CTR OF DUNDEE,30,,,,
2015-2016,DOUGLAS,280740000,RONCALLI CATHOLIC HIGH SCHOOL,406,31,80,111,27.34
2015-2016,DOUGLAS,280741000,SACRED HEART ELEMENTARY SCHOOL,125,,,114,91.2
2015-2016,DOUGLAS,280744000,PRIMROSE SCHOOL OF LEGACY,69,,,,
2015-2016,DOUGLAS,280746000,ST BERNARD ELEMENTARY SCHOOL,167,,,28,16.77
2015-2016,DOUGLAS,280748000,ST CECILIA CATHEDRAL SCHOOL,312,38,19,57,18.27
2015-2016,DOUGLAS,280749000,SKUTT CATHOLIC HIGH SCHOOL,708,,,,
2015-2016,DOUGLAS,280751000,ST GERALD ELEMENTARY SCHOOL,378,14,14,28,7.41
2015-2016,DOUGLAS,280752000,ST JAMES-SETON ELEMENTARY SCH,550,,,,
2015-2016,DOUGLAS,280753000,ST JOAN OF ARC ELEMENTARY SCH,122,,,28,22.95
2015-2016,DOUGLAS,280754000,CONCORDIA LUTHERAN SCHOOLS OF OMAHA,581,,,13,2.24
2015-2016,DOUGLAS,280755000,ST MARGARET MARY ELEM SCHOOL,514,,,12,2.33
2015-2016,DOUGLAS,280757000,ST PAUL LUTHERAN ELEM SCHOOL,62,,,45,72.58
2015-2016,DOUGLAS,280759000,STS PETER & PAUL ELEM SCHOOL,232,154,27,181,78.02
2015-2016,DOUGLAS,280760000,ST PHILIP NERI ELEM SCHOOL,150,37,22,59,39.33
2015-2016,DOUGLAS,280761000,ST PIUS X / ST LEO ELEMENTARY,684,71,46,117,17.11
2015-2016,DOUGLAS,280763000,ST ROBERT BELLARMINE ELEM,597,10,12,22,3.69
2015-2016,DOUGLAS,280765000,ST THOMAS MORE ELEM SCHOOL,404,62,22,84,20.79
2015-2016,DOUGLAS,280766000,ALLELUIA! KINDERGARTEN AND PRESCHOOLS,74,,,,
2015-2016,DOUGLAS,280767000,OMAHA CHRISTIAN ACADEMY,321,,,,
2015-2016,DOUGLAS,280768000,LEGACY PRIMARY SCHOOL,14,,,,
2015-2016,DOUGLAS,280774000,THE HILLS MONTESSORI SCHOOL,3,,,,
2015-2016,DOUGLAS,280775000,NELSON MANDELA SCHOOL,98,NULL,NULL,NULL,NULL
2015-2016,DOUGLAS,280776000,FRIEDEL JEWISH ACADEMY,47,,,,
2015-2016,DOUGLAS,280780000,LIFEGATE CHRISTIAN SCHOOL,304,,,,
2015-2016,DOUGLAS,280790000,MONTESSORI PARENT'S CO-OP,59,,,,
2015-2016,DOUGLAS,280791000,ST WENCESLAUS SCHOOL,816,,,19,2.33
2015-2016,DOUGLAS,280796000,OMAHA STREET SCHOOL,22,,,,
2015-2016,DUNDY,290117000,DUNDY CO STRATTON PUBLIC SCHS,330,93,30,123,37.27
2015-2016,FILLMORE,300001000,EXETER-MILLIGAN PUBLIC SCHOOLS,186,18,19,37,19.89
2015-2016,FILLMORE,300025000,FILLMORE CENTRAL PUBLIC SCHS,549,134,58,192,34.97
2015-2016,FILLMORE,300054000,SHICKLEY PUBLIC SCHOOLS,144,,,15,10.42
2015-2016,FILLMORE,300600000,GENEVA NORTH SCHOOL,46,,,,
2015-2016,FILLMORE,300701000,GRACE LUTHERAN ELEMENTARY SCH,22,,,11,50
2015-2016,FRANKLIN,310506000,FRANKLIN PUBLIC SCHOOLS,296,111,47,158,53.38
2015-2016,FRONTIER,320046000,MAYWOOD PUBLIC SCHOOLS,164,29,15,44,26.83
2015-2016,FRONTIER,320095000,EUSTIS-FARNAM PUBLIC SCHOOLS,187,58,29,87,46.52
2015-2016,FRONTIER,320125000,MEDICINE VALLEY PUBLIC SCHOOLS,219,44,31,75,34.25
2015-2016,FURNAS,330018000,ARAPAHOE PUBLIC SCHOOLS,341,113,57,170,49.85
2015-2016,FURNAS,330021000,CAMBRIDGE PUBLIC SCHOOLS,346,91,63,154,44.51
2015-2016,FURNAS,330540000,SOUTHERN VALLEY SCHOOLS,445,163,55,218,48.99
2015-2016,GAGE,340001000,SOUTHERN SCHOOL DIST 1,395,160,38,198,50.13
2015-2016,GAGE,340015000,BEATRICE PUBLIC SCHOOLS,2109,757,205,962,45.61
2015-2016,GAGE,340034000,FREEMAN PUBLIC SCHOOLS,440,38,51,89,20.23
2015-2016,GAGE,340100000,DILLER-ODELL PUBLIC SCHOOLS,264,54,29,83,31.44
2015-2016,GAGE,340701000,ST JOSEPH ELEMENTARY SCHOOL,87,,,,
2015-2016,GAGE,340702000,ST PAUL'S LUTHERAN ELEM SCHOOL,129,,,16,12.4
2015-2016,GARDEN,350001000,GARDEN COUNTY SCHOOLS,285,110,48,158,55.44
2015-2016,GARFIELD,360100000,BURWELL PUBLIC SCHOOLS,358,80,37,117,32.68
2015-2016,GOSPER,370030000,ELWOOD PUBLIC SCHOOLS,222,76,28,104,46.85
2015-2016,GRANT,380011000,HYANNIS AREA SCHOOLS,142,46,15,61,42.96
2015-2016,GREELEY,390060000,CENTRAL VALLEY PUBLIC SCHOOLS,309,78,63,141,45.63
2015-2016,GREELEY,390702000,SPALDING ACADEMY,86,23,11,34,39.53
2015-2016,HALL,400002000,GRAND ISLAND PUBLIC SCHOOLS,9698,5482,1121,6603,68.09
2015-2016,HALL,400082000,NORTHWEST PUBLIC SCHOOLS,1451,241,151,392,27.02
2015-2016,HALL,400083000,WOOD RIVER RURAL SCHOOLS,559,203,61,264,47.23
2015-2016,HALL,400126000,DONIPHAN-TRUMBULL PUBLIC SCHS,476,94,56,150,31.51
2015-2016,HALL,400701000,CENTRAL CATHOLIC SCHOOLS,291,,,,
2015-2016,HALL,400704000,TRINITY LUTHERAN ELEM SCHOOL,144,,,25,17.36
2015-2016,HALL,400705000,PLATTE VALLEY SDA ELEMENTARY SCHOOL,14,,,,
2015-2016,HALL,400707000,NEW HOPE CHRISTIAN ELEM SCHOOL,38,,,,
2015-2016,HALL,400708000,GRAND ISLAND CHRISTIAN SCHOOL,19,,,,
2015-2016,HALL,400711000,HEARTLAND LUTHERAN HIGH SCHOOL,64,,,,
2015-2016,HAMILTON,410002000,GILTNER PUBLIC SCHOOLS,194,46,24,70,36.08
2015-2016,HAMILTON,410091000,HAMPTON PUBLIC SCHOOLS,166,34,19,53,31.93
2015-2016,HAMILTON,410504000,AURORA PUBLIC SCHOOLS,1269,297,145,442,34.83
2015-2016,HAMILTON,410701000,IMMANUEL LUTHERAN ELEM SCHOOL,19,,,,
2015-2016,HAMILTON,410702000,HAMPTON LUTHERAN ELEM SCHOOL,43,,,,
2015-2016,HARLAN,420002000,ALMA PUBLIC SCHOOLS,293,92,36,128,43.69
2015-2016,HAYES,430079000,HAYES CENTER PUBLIC SCHOOLS,90,30,10,40,44.44
2015-2016,HITCHCOCK,440070000,HITCHCOCK CO SCH SYSTEM,291,112,60,172,59.11
2015-2016,HOLT,450007000,O'NEILL PUBLIC SCHOOLS,782,247,98,345,44.12
2015-2016,HOLT,450029000,EWING PUBLIC SCHOOLS,123,38,32,70,56.91
2015-2016,HOLT,450044000,STUART PUBLIC SCHOOLS,177,48,50,98,55.37
2015-2016,HOLT,450137000,CHAMBERS PUBLIC SCHOOLS,113,17,18,35,30.97
2015-2016,HOLT,450239000,WEST HOLT PUBLIC SCHOOLS,427,94,53,147,34.43
2015-2016,HOLT,450701000,ST MARY'S SCHOOLS,185,24,20,44,23.78
2015-2016,HOLT,450703000,ST JOSEPH'S ELEMENTARY SCHOOL,39,,,18,46.15
2015-2016,HOOKER,460001000,MULLEN PUBLIC SCHOOLS,164,33,34,67,40.85
2015-2016,HOWARD,470001000,ST PAUL PUBLIC SCHOOLS,709,126,78,204,28.77
2015-2016,HOWARD,470100000,CENTURA PUBLIC SCHOOLS,481,95,59,154,32.02
2015-2016,HOWARD,470103000,ELBA PUBLIC SCHOOLS,110,61,15,76,69.09
2015-2016,JEFFERSON,480008000,FAIRBURY PUBLIC SCHOOLS,909,390,108,498,54.79
2015-2016,JEFFERSON,480300000,TRI COUNTY PUBLIC SCHOOLS,382,85,43,128,33.51
2015-2016,JEFFERSON,480303000,MERIDIAN PUBLIC SCHOOLS,228,85,26,111,48.68
2015-2016,JEFFERSON,480702000,ST PAUL'S LUTHERAN ELEM SCHOOL,76,,,,
2015-2016,JOHNSON,490033000,STERLING PUBLIC SCHOOLS,208,34,15,49,23.56
2015-2016,JOHNSON,490050000,JOHNSON CO CENTRAL PUBLIC SCHS,550,195,75,270,49.09
2015-2016,JOHNSON,490702000,ST ANDREW ELEMENTARY SCHOOL,24,,,20,83.33
2015-2016,KEARNEY,500001000,WILCOX-HILDRETH PUBLIC SCHOOLS,199,39,38,77,38.69
2015-2016,KEARNEY,500501000,AXTELL COMMUNITY SCHOOLS,264,44,22,66,25
2015-2016,KEARNEY,500503000,MINDEN PUBLIC SCHOOLS,802,211,94,305,38.03
2015-2016,KEITH,510001000,OGALLALA PUBLIC SCHOOLS,866,292,87,379,43.76
2015-2016,KEITH,510006000,PAXTON CONSOLIDATED SCHOOLS,208,62,35,97,46.63
2015-2016,KEITH,510701000,ST LUKE ELEMENTARY SCHOOL,72,,,11,15.28
2015-2016,KEITH,510702000,ST PAUL'S LUTHERAN ELEM SCHOOL,59,,,12,20.34
2015-2016,KEYA PAHA,520100000,KEYA PAHA COUNTY SCHOOLS,86,17,15,32,37.21
2015-2016,KIMBALL,530001000,KIMBALL PUBLIC SCHOOLS,508,183,103,286,56.3
2015-2016,KNOX,540013000,CREIGHTON COMMUNITY PUBLIC SCHOOLS,308,74,20,94,30.52
