FY,COUNTY,CODISTSCH,DISTRICTLNAME,v,FREELUNCH,REDUCEDLUNCH,FREEREDUCEDLUNCH,PERCENT
2016-2017,PLATTE,710067000,HUMPHREY PUBLIC SCHOOLS,267,45,17,62,23.22
2016-2017,PLATTE,710701000,IMMANUEL LUTHERAN ELEM SCHOOL,178,,,17,9.55
2016-2017,PLATTE,710702000,ST ANTHONY ELEMENTARY SCHOOL,109,21,20,41,37.61
2016-2017,PLATTE,710703000,ST BONAVENTURE ELEM SCHOOL,236,28,19,47,19.92
2016-2017,PLATTE,710704000,ST ISIDORE ELEMENTARY SCHOOL,247,,,11,4.45
2016-2017,PLATTE,710705000,SCOTUS CENTRAL CATHOLIC,373,25,19,44,11.8
2016-2017,PLATTE,710706000,HOLY FAMILY SCHOOLS,115,,,23,20
2016-2017,PLATTE,710708000,ST FRANCIS SCHOOLS,198,,,19,9.6
2016-2017,PLATTE,710710000,ST JOHN LUTHERAN ELEM SCHOOL,37,,,,
2016-2017,PLATTE,710711000,CHRIST LUTHERAN ELEMENTARY SCH,25,,,,
2016-2017,PLATTE,710712000,COLUMBUS CHRISTIAN SCHOOL,70,,,,
2016-2017,POLK,720015000,CROSS COUNTY COMMUNITY SCHOOLS,400,92,46,138,34.5
2016-2017,POLK,720019000,OSCEOLA PUBLIC SCHOOLS,269,68,31,99,36.8
2016-2017,POLK,720032000,SHELBY - RISING CITY PUBLIC SCHOOLS,393,124,39,163,41.48
2016-2017,POLK,720075000,HIGH PLAINS COMMUNITY SCHOOLS,233,65,39,104,44.64
2016-2017,POLK,720701000,POLK COUNTY CHRISTIAN SCHOOL,21,,,,
2016-2017,RED WILLOW,730017000,MC COOK PUBLIC SCHOOLS,1415,425,115,540,38.16
2016-2017,RED WILLOW,730179000,SOUTHWEST PUBLIC SCHOOLS,299,98,54,152,50.84
2016-2017,RED WILLOW,730701000,ST PATRICK'S ELEMENTARY SCHOOL,162,15,12,27,16.67
2016-2017,RICHARDSON,740056000,FALLS CITY PUBLIC SCHOOLS,875,350,90,440,50.29
2016-2017,RICHARDSON,740070000,HUMBOLDT TABLE ROCK STEINAUER,377,152,44,196,51.99
2016-2017,RICHARDSON,740702000,SACRED HEART SCHOOLS,238,33,17,50,21.01
2016-2017,ROCK,750100000,ROCK COUNTY PUBLIC SCHOOLS,236,74,26,100,42.37
2016-2017,SALINE,760002000,CRETE PUBLIC SCHOOLS,1940,1007,192,1199,61.8
2016-2017,SALINE,760044000,DORCHESTER PUBLIC SCHOOL,170,57,13,70,41.18
2016-2017,SALINE,760068000,FRIEND PUBLIC SCHOOLS,256,51,17,68,26.56
2016-2017,SALINE,760082000,WILBER-CLATONIA PUBLIC SCHOOLS,582,79,30,109,18.73
2016-2017,SALINE,760701000,ST JAMES ELEMENTARY SCHOOL,91,28,17,45,49.45
2016-2017,SALINE,760703000,ZION LUTHERAN ELEMENTARY SCH,6,,,,
2016-2017,SARPY,770001000,BELLEVUE PUBLIC SCHOOLS,10028,2651,848,3499,34.89
2016-2017,SARPY,770027000,PAPILLION LA VISTA COMMUNITY SCHOOLS,11744,2088,634,2722,23.18
2016-2017,SARPY,770037000,GRETNA PUBLIC SCHOOLS,4688,207,175,382,8.15
2016-2017,SARPY,770046000,SPRINGFIELD PLATTEVIEW COMMUNITY SCHOOLS,1162,143,63,206,17.73
